Num_ID,Gene_ID,transcript_ID,# of transcripts
224,WBGene00000253,"['F56C11.1.1', 'F56C11.1.2']",2
225,WBGene00000254,"['K04F10.4a.1', 'K04F10.4b.1', 'K04F10.4c.1', 'K04F10.4d.1', 'K04F10.4d.2', 'K04F10.4e.1', 'K04F10.4f.1', 'K04F10.4g.1', 'K04F10.4h.1', 'K04F10.4i.1', 'K04F10.4j.1']",11
226,WBGene00000255,['F45G2.5.1'],1
227,WBGene00000256,['Y73B6BL.34.1'],1
228,WBGene00000257,"['F23B12.8a.1', 'F23B12.8b.1']",2
229,WBGene00000259,"['F13H8.10a.1', 'F13H8.10b.1', 'F13H8.10c.1', 'F13H8.10c.2', 'F13H8.10c.3', 'F13H8.10c.4', 'F13H8.10c.5', 'F13H8.10c.6']",8
230,WBGene00000262,['F54B11.6.1'],1
231,WBGene00000263,['F23H11.5.1'],1
232,WBGene00000264,"['C36A4.8a.1', 'C36A4.8b.1', 'C36A4.8c.1']",3
233,WBGene00000265,['K04C2.4.1'],1
234,WBGene00000266,"['C53B4.7a.1', 'C53B4.7b.1', 'C53B4.7c.1', 'C53B4.7d.1', 'C53B4.7e.1']",5
235,WBGene00000267,"['Y39E4B.9a.1', 'Y39E4B.9a.2', 'Y39E4B.9b.1', 'Y39E4B.9c.1', 'Y39E4B.9d.1']",5
236,WBGene00000268,"['B0464.4a.1', 'B0464.4a.2', 'B0464.4a.3']",3
237,WBGene00000269,"['Y73E7A.7a.1', 'Y73E7A.7a.2', 'Y73E7A.7b.1']",3
238,WBGene00000270,"['T12G3.8a.1', 'T12G3.8b.1']",2
239,WBGene00000271,"['F45E12.2a.1', 'F45E12.2b.1']",2
240,WBGene00000272,['F56A3.5.1'],1
241,WBGene00000273,"['Y79H2A.1a.1', 'Y79H2A.1c.1']",2
242,WBGene00000274,['F15D4.1.1'],1
243,WBGene00000275,['R06C7.8.1'],1
244,WBGene00000276,['F57B9.5.1'],1
245,WBGene00000277,"['C23H4.1.1', 'C23H4.1.2']",2
246,WBGene00000279,"['F54D8.4a.1', 'F54D8.4b.1']",2
247,WBGene00000280,['D1022.8.1'],1
248,WBGene00000281,['K05G3.3.1'],1
249,WBGene00000282,"['R01E6.3a.1', 'R01E6.3b.1']",2
250,WBGene00000283,['R173.1.1'],1
251,WBGene00000284,"['T28F2.3.1', 'T28F2.3.2']",2
252,WBGene00000285,"['C13C12.1a.1', 'C13C12.1b.1']",2
253,WBGene00000286,['C18E9.1.1'],1
254,WBGene00000287,"['M02B7.6a.1', 'M02B7.6b.1']",2
255,WBGene00000288,"['T07G12.1a.1', 'T07G12.1b.1', 'T07G12.1b.2', 'T07G12.1c.1']",4
256,WBGene00000289,"['C01G6.8a.1', 'C01G6.8b.1', 'C01G6.8c.1', 'C01G6.8c.2']",4
257,WBGene00000292,['D2024.6.1'],1
258,WBGene00000293,['M106.5.1'],1
259,WBGene00000294,"['F41G4.2a.1', 'F41G4.2b.1']",2
260,WBGene00000295,"['W01C8.6.1', 'W01C8.6.2']",2
261,WBGene00000296,"['B0432.5a.1', 'B0432.5b.1', 'B0432.5c.1']",3
262,WBGene00000298,['F32G8.6.1'],1
263,WBGene00000301,"['T13F2.8a.1', 'T13F2.8b.1']",2
264,WBGene00000302,"['C56A3.7a.1', 'C56A3.7b.1', 'C56A3.7c.1', 'C56A3.7d.1']",4
265,WBGene00000366,"['R10E11.1a.1', 'R10E11.1a.2', 'R10E11.1b.1', 'R10E11.1c.1']",4
266,WBGene00000367,"['C54D2.5a.1', 'C54D2.5a.2', 'C54D2.5a.3', 'C54D2.5c.1', 'C54D2.5d.1', 'C54D2.5e.1', 'C54D2.5g.1']",7
267,WBGene00000368,['T28F2.5.1'],1
268,WBGene00000369,['Y56A3A.20.1'],1
269,WBGene00000370,['Y73F8A.6.1'],1
270,WBGene00000371,"['F26E4.9.1', 'F26E4.9.2']",2
271,WBGene00000372,['T10B9.10.1'],1
272,WBGene00000373,['F08F3.7.1'],1
273,WBGene00000375,['ZK177.5.1'],1
274,WBGene00000376,"['ZC518.3a.1', 'ZC518.3b.1', 'ZC518.3c.1', 'ZC518.3c.2', 'ZC518.3d.1', 'ZC518.3e.1']",6
275,WBGene00000377,['T05C12.7.1'],1
276,WBGene00000378,['T21B10.7.1'],1
277,WBGene00000379,"['K01C8.10.1', 'K01C8.10.2']",2
278,WBGene00000380,['C07G2.3.1'],1
279,WBGene00000381,"['F01F1.8a.1', 'F01F1.8a.2', 'F01F1.8b.1']",3
280,WBGene00000382,['C43E11.10.1'],1
281,WBGene00000383,"['C17G10.4a.1', 'C17G10.4c.1', 'C17G10.4d.1', 'C17G10.4e.1', 'C17G10.4g.1', 'C17G10.4h.1']",6
282,WBGene00000386,['K06A5.7.1'],1
283,WBGene00000387,"['F16B4.8a.1', 'F16B4.8b.1', 'F16B4.8c.1']",3
284,WBGene00000388,['ZK637.11.1'],1
285,WBGene00000389,['R05H5.2.1'],1
286,WBGene00000390,['R07G3.1.1'],1
287,WBGene00000391,['C47D2.2.1'],1
288,WBGene00000392,['F49E8.4.1'],1
289,WBGene00000393,"['C15B12.7a.1', 'C15B12.7a.2', 'C15B12.7b.1', 'C15B12.7b.2', 'C15B12.7c.1']",5
290,WBGene00000395,['ZK112.7.1'],1
291,WBGene00000396,['F25F2.2.1'],1
292,WBGene00000397,"['F08B4.2a.1', 'F08B4.2b.1', 'F08B4.2c.1', 'F08B4.2d.1']",4
293,WBGene00000399,['R05H10.6.1'],1
294,WBGene00000401,"['F59C12.1a.1', 'F59C12.1b.1']",2
295,WBGene00000402,['C45G7.5.1'],1
296,WBGene00000403,"['B0034.3a.1', 'B0034.3b.1', 'B0034.3c.1', 'B0034.3d.1']",4
297,WBGene00000405,['T05G5.3.1'],1
298,WBGene00000406,['F18H3.5.1'],1
299,WBGene00000407,['T27E9.3.1'],1
300,WBGene00000408,"['Y39G10AL.3.1', 'Y39G10AL.3.2', 'Y39G10AL.3.3']",3
301,WBGene00000409,['F39H11.3.1'],1
302,WBGene00000410,"['H25P06.2a.1', 'H25P06.2b.1']",2
303,WBGene00000411,['R06F6.1.1'],1
304,WBGene00000412,['F35E8.11.1'],1
305,WBGene00000413,['Y54E10A.15.1'],1
306,WBGene00000414,['ZK1236.2.1'],1
307,WBGene00000415,"['Y47H9C.4a.1', 'Y47H9C.4b.1', 'Y47H9C.4c.1', 'Y47H9C.4d.1']",4
308,WBGene00000416,"['Y41D4B.13a.1', 'Y41D4B.13b.1', 'Y41D4B.13c.1']",3
309,WBGene00000417,"['C48D1.2a.1', 'C48D1.2b.1']",2
310,WBGene00000418,"['C35D10.9a.1', 'C35D10.9b.1']",2
311,WBGene00000419,['C02F4.1.1'],1
312,WBGene00000420,['F56D2.7.1'],1
313,WBGene00000421,"['C48B4.4a.1', 'C48B4.4a.2', 'C48B4.4b.1', 'C48B4.4c.1', 'C48B4.4d.1']",5
314,WBGene00000422,['F08F1.5.1'],1
315,WBGene00000423,['T07C4.8.1'],1
316,WBGene00000424,"['C09G12.8a.1', 'C09G12.8b.1']",2
317,WBGene00000425,['ZK512.3.1'],1
318,WBGene00000426,"['Y106G6E.5a.1', 'Y106G6E.5b.1']",2
319,WBGene00000427,['R09F10.9.1'],1
320,WBGene00000428,['F16H11.4.1'],1
321,WBGene00000429,['C27A12.5.1'],1
322,WBGene00000430,['C16C2.1.1'],1
323,WBGene00000431,['K02B12.1.1'],1
324,WBGene00000432,['C34C6.8.1'],1
325,WBGene00000433,"['ZK265.4a.1', 'ZK265.4b.1', 'ZK265.4c.1']",3
326,WBGene00000434,['Y65B4BR.9.1'],1
327,WBGene00000435,['W03A3.1.1'],1
328,WBGene00000436,"['F33D11.4a.1', 'F33D11.4b.1']",2
329,WBGene00000437,['R13A5.5.1'],1
330,WBGene00000438,['F46C8.5.1'],1
331,WBGene00000439,"['C13G5.1.1', 'C13G5.1.2']",2
332,WBGene00000440,['D1007.1.1'],1
333,WBGene00000441,"['ZC64.3a.1', 'ZC64.3b.1', 'ZC64.3b.2']",3
334,WBGene00000442,"['F20D12.6a.1', 'F20D12.6b.1']",2
335,WBGene00000443,['F31E3.1.1'],1
336,WBGene00000444,['T26C11.6.1'],1
337,WBGene00000445,"['F29F11.5a.1', 'F29F11.5b.1', 'F29F11.5c.1', 'F29F11.5d.1', 'F29F11.5e.1']",5
338,WBGene00000446,['ZK652.5.1'],1
339,WBGene00000447,['F55B12.1.1'],1
340,WBGene00000448,['K12H4.1.1'],1
341,WBGene00000449,"['F46F3.1a.1', 'F46F3.1a.2', 'F46F3.1b.1']",3
342,WBGene00000450,['K03A11.3.1'],1
343,WBGene00000451,"['C33D12.7.1', 'C33D12.7.2']",2
344,WBGene00000452,['C33D12.1.1'],1
345,WBGene00000453,['W05E10.3.1'],1
346,WBGene00000454,['C10G8.7.1'],1
347,WBGene00000455,['C10G8.6.1'],1
348,WBGene00000457,['C37E2.4.1'],1
349,WBGene00000458,"['C37E2.5a.1', 'C37E2.5b.1', 'C37E2.5c.1', 'C37E2.5d.1']",4
350,WBGene00000459,"['F22D3.1a.1', 'F22D3.1a.2', 'F22D3.1b.1', 'F22D3.1b.2', 'F22D3.1c.1', 'F22D3.1c.2', 'F22D3.1d.1', 'F22D3.1d.2', 'F22D3.1e.1', 'F22D3.1e.2', 'F22D3.1f.1', 'F22D3.1g.1', 'F22D3.1h.1', 'F22D3.1h.2', 'F22D3.1i.1', 'F22D3.1j.1', 'F22D3.1k.1', 'F22D3.1k.2', 'F22D3.1l.1', 'F22D3.1m.1', 'F22D3.1n.1', 'F22D3.1o.1', 'F22D3.1p.1', 'F22D3.1p.2']",24
351,WBGene00000460,['T26C11.7.1'],1
352,WBGene00000461,['F17A2.5.1'],1
353,WBGene00000462,['T26C11.5.1'],1
354,WBGene00000463,"['C28A5.4a.1', 'C28A5.4b.1']",2
355,WBGene00000464,['Y54F10AM.4.1'],1
356,WBGene00000465,"['C07G2.1a.1', 'C07G2.1b.1']",2
357,WBGene00000466,"['C03D6.3a.1', 'C03D6.3b.1']",2
358,WBGene00000467,"['F52B5.5a.1', 'F52B5.5b.1', 'F52B5.5b.2', 'F52B5.5b.3', 'F52B5.5b.4']",5
359,WBGene00000468,['F43G9.11.1'],1
360,WBGene00000469,['ZK909.4.1'],1
361,WBGene00000472,['F33A8.3.1'],1
362,WBGene00000473,['F46F11.2.1'],1
363,WBGene00000474,['M01E11.5.1'],1
364,WBGene00000475,['Y39A1C.3.1'],1
365,WBGene00000476,['T23D8.8.1'],1
366,WBGene00000477,['C18C4.2.1'],1
367,WBGene00000478,['F27E11.3.1'],1
368,WBGene00000479,['C07H6.5.1'],1
369,WBGene00000480,"['Y38C9A.2a.1', 'Y38C9A.2b.1', 'Y38C9A.2c.1']",3
370,WBGene00000481,['ZC416.8b.1'],1
371,WBGene00000482,['T14G8.1.1'],1
372,WBGene00000483,"['C55B7.12a.1', 'C55B7.12b.1']",2
373,WBGene00000484,['F38G1.1.1'],1
374,WBGene00000485,['F18C12.1.1'],1
375,WBGene00000487,['C23H5.7.1'],1
376,WBGene00000488,"['F26D11.10a.1', 'F26D11.10b.1', 'F26D11.10c.1', 'F26D11.10d.1']",4
377,WBGene00000490,['C27A7.4.1'],1
378,WBGene00000491,"['B0024.8a.1', 'B0024.8b.1', 'B0024.8c.1', 'B0024.8d.1']",4
379,WBGene00000492,"['F59C6.7a.1', 'F59C6.7b.1']",2
380,WBGene00000493,['F56H1.1.1'],1
381,WBGene00000496,"['T25G3.2.1', 'T25G3.2.2']",2
382,WBGene00000497,"['F48A11.1a.1', 'F48A11.1b.1', 'F48A11.1c.1']",3
383,WBGene00000498,"['Y39H10A.7a.1', 'Y39H10A.7b.1']",2
384,WBGene00000499,['Y60A3A.12.1'],1
385,WBGene00000500,['T09B4.10.1'],1
386,WBGene00000501,['C48D1.3.1'],1
387,WBGene00000502,['Y110A7A.13.1'],1
388,WBGene00000503,['C04F6.3.1'],1
389,WBGene00000506,['H14E04.5.1'],1
390,WBGene00000507,['F44B9.4a.1'],1
391,WBGene00000508,"['F44B9.3a.1', 'F44B9.3b.1', 'F44B9.3b.2']",3
392,WBGene00000509,"['C28D4.2a.1', 'C28D4.2b.1', 'C28D4.2c.1']",3
393,WBGene00000510,"['C52B9.1a.1', 'C52B9.1b.1', 'C52B9.1b.2']",3
394,WBGene00000511,['B0285.8.1'],1
395,WBGene00000512,['B0285.9.1'],1
396,WBGene00000513,['B0285.10.1'],1
397,WBGene00000514,['F22F7.5a.1'],1
398,WBGene00000515,"['T27A10.3a.1', 'T27A10.3b.1', 'T27A10.3b.2']",3
399,WBGene00000516,['T05A6.1.1'],1
400,WBGene00000517,"['T05A6.2a.1', 'T05A6.2a.2', 'T05A6.2b.1', 'T05A6.2b.2', 'T05A6.2c.1']",5
401,WBGene00000518,"['C05H8.1a.1', 'C05H8.1b.1']",2
402,WBGene00000519,['Y47D3A.4.1'],1
403,WBGene00000520,"['R07E5.8a.1', 'R07E5.8a.2', 'R07E5.8b.1', 'R07E5.8c.1']",4
404,WBGene00000521,['C15C8.2.1'],1
